S.No.,Daily Demand for the Perishable Item (Units),Supply Quantity Per Camp for the Perishable Item (Units)
1,39,55
2,17,64
3,30,74
4,39,176
5,29,83
6,24,85
7,31,117
8,36,129
9,23,83
10,29,88
11,25,55
12,36,53
13,20,46
14,24,71
15,37,71
16,46,85
17,31,44
18,32,48
19,33,55
20,29,102
21,23,56
22,27,47
23,35,129
24,26,55
25,29,85
26,27,52
27,29,93
28,31,41
29,32,55
30,31,83
31,31,123
32,27,46
33,31,157
34,30,83
35,19,52
36,23,66
37,24,83
38,25,50
39,25,67
40,20,122
41,16,61
42,37,72
43,31,46
44,34,120
45,27,50
46,29,43
47,30,121
48,37,32
49,25,87
50,31,82
51,26,61
52,29,103
53,20,66
54,37,54
55,33,53
56,27,122
57,36,54
58,30,71
59,34,44
60,34,55
61,19,69
62,24,55
63,29,32
64,27,102
65,26,110
66,37,52
67,24,83
68,30,103
69,37,87
70,31,64
71,31,87
72,32,44
73,23,34
74,26,88
75,18,66
76,23,110
77,23,52
78,24,87
79,24,87
80,24,78
81,29,67
82,30,83
83,23,47
84,26,136
85,24,83
86,36,50
87,26,54
88,25,85
89,31,72
90,28,36
91,25,41
92,22,64
93,25,66
94,30,72
95,24,63
96,36,60
97,16,76
98,27,72
99,33,54
100,29,129
101,26,83
102,26,45
103,35,58
104,32,72
105,37,35
106,36,45
107,25,56
108,21,223
109,23,223
110,27,49
111,28,82
112,33,136
113,30,32
114,37,87
115,29,87
116,24,53
117,26,100
118,25,53
119,20,79
120,29,44
121,40,60
122,23,49
123,25,121
124,30,44
125,33,87
126,27,44
127,24,34
128,31,62
129,23,88
130,23,32
131,28,88
132,23,35
133,25,83
134,27,136
135,28,110
136,33,36
137,32,122
138,28,83
139,28,38
140,27,85
141,21,85
142,27,53
143,30,89
144,25,86
145,29,117
146,24,72
147,30,52
148,31,61
149,28,64
150,38,58
151,34,66
152,27,84
153,26,86
154,33,82
155,27,120
156,22,69
157,29,48
158,31,84
159,20,61
160,30,67
161,26,102
162,25,72
163,31,115
164,27,43
165,29,55
166,29,49
167,25,53
168,21,84
169,28,117
170,37,78
171,23,44
172,33,102
173,42,131
174,28,55
175,23,36
176,32,66
177,28,66
178,32,172
179,27,41
180,25,64
181,30,56
182,28,55
183,39,93
184,34,93
185,38,56
186,31,45
187,36,82
188,34,45
189,32,43
190,27,71
191,27,85
192,24,52
193,33,48
194,34,47
195,23,72
196,27,72
197,25,85
198,26,45
199,31,56
200,39,58
201,21,49
202,27,66
203,29,44
204,36,92
205,27,84
206,20,83
207,33,35
208,30,106
209,26,43
210,29,57
211,35,103
212,21,44
213,42,88
214,29,83
215,31,45
216,35,204
217,27,122
218,19,223
219,27,89
220,18,56
221,39,52
222,30,88
223,42,106
224,33,56
225,17,45
226,29,56
227,25,129
228,31,50
229,29,50
230,42,84
231,30,71
232,23,47
233,29,38
234,26,43
235,20,110
236,23,72
237,32,60
238,37,49
239,20,129
240,16,71
241,37,41
242,36,45
243,27,41
244,22,83
245,24,55
246,26,87
247,31,102
248,23,117
249,29,223
250,38,83
251,24,48
252,28,85
253,24,83
254,34,55
255,30,56
256,26,64
257,28,120
258,28,84
259,17,50
260,39,83
261,25,88
262,28,72
263,18,102
264,38,48
265,25,71
266,31,83
267,30,47
268,38,72
269,25,103
270,27,115
271,19,71
272,29,47
273,24,72
274,21,48
275,32,88
276,19,85
277,34,35
278,23,84
279,28,83
280,26,172
281,30,47
282,30,115
283,32,122
284,16,72
285,35,123
286,27,120
287,29,56
288,35,54
289,25,69
290,30,43
291,25,123
292,29,115
293,30,71
294,36,52
295,20,172
296,37,69
297,32,66
298,34,66
299,25,50
300,32,99
301,21,53
302,18,45
303,35,56
304,32,76
305,14,71
306,25,72
307,28,98
308,20,78
309,29,63
310,29,61
311,27,47
312,30,136
313,30,99
314,19,83
315,36,32
316,16,76
317,21,122
318,26,135
319,24,85
320,26,82
321,24,172
322,20,131
323,31,72
324,20,56
325,39,45
326,34,36
327,41,60
328,32,49
329,26,91
330,32,49
331,27,49
332,22,122
333,27,56
334,40,67
335,25,73
336,25,64
337,29,136
338,33,79
339,28,57
340,28,41
341,32,53
342,25,72
343,34,83
344,35,63
345,31,48
346,26,54
347,30,129
348,28,45
349,27,137
350,28,87
351,28,134
352,26,48
353,26,54
354,24,74
355,24,99
356,27,45
357,37,87
358,22,41
359,27,35
360,29,72
361,33,50
362,26,115
363,24,72
364,33,115
365,33,35
366,29,136
367,22,176
368,18,83
369,26,88
370,26,172
371,29,88
372,31,76
373,28,122
374,23,82
375,18,117
376,31,35
377,30,76
378,28,63
379,26,32
380,29,43
381,21,110
382,40,55
383,21,44
384,29,110
385,31,49
386,36,110
387,15,83
388,41,131
389,30,87
390,34,48
391,32,83
392,36,83
393,20,71
394,28,83
395,20,91
396,23,55
397,32,106
398,16,71
399,33,43
400,30,123
401,28,84
402,30,83
403,30,64
404,29,110
405,18,134
406,34,103
407,30,60
408,21,78
409,23,38
410,25,134
411,29,137
412,34,99
413,29,85
414,27,66
415,22,45
416,27,63
417,31,69
418,23,110
419,28,35
420,24,88
421,31,223
422,21,172
423,38,72
424,28,85
425,26,47
426,27,38
427,27,78
428,26,61
429,19,76
430,26,115
431,23,38
432,35,45
433,28,62
434,35,88
435,31,38
436,31,56
437,30,66
438,19,50
439,24,57
440,23,87
441,20,86
442,21,134
443,27,72
444,19,43
445,33,38
446,28,102
447,25,63
448,25,88
449,27,88
450,28,131
451,21,52
452,18,55
453,27,110
454,19,121
455,31,87
456,33,35
457,30,86
458,25,136
459,31,110
460,36,88
461,30,69
462,19,67
463,31,83
464,29,53
465,31,71
466,33,110
467,42,60
468,18,136
469,26,136
470,23,83
471,24,79
472,23,53
473,21,64
474,21,120
475,20,84
476,26,71
477,34,129
478,25,86
479,27,38
480,27,92
481,34,72
482,28,84
483,34,78
484,30,93
485,29,134
486,24,41
487,27,117
488,22,134
489,34,72
490,18,56
491,25,78
492,28,82
493,35,53
494,32,83
495,37,52
496,26,44
497,32,71
498,22,84
499,29,55
500,22,45
501,33,56
502,24,78
503,24,83
504,26,32
505,21,41
506,28,69
507,22,71
508,27,134
509,28,78
510,28,57
511,34,117
512,31,63
513,17,53
514,38,34
515,24,78
516,29,122
517,25,56
518,31,82
519,25,52
520,27,84
521,27,122
522,33,83
523,24,157
524,23,83
525,28,147
526,19,63
527,21,223
528,24,87
529,29,98
530,23,55
531,38,157
532,25,131
533,26,110
534,31,71
535,30,72
536,33,93
537,30,63
538,27,91
539,26,50
540,37,117
541,20,115
542,32,83
543,27,50
544,24,84
545,24,56
546,28,48
547,33,122
548,35,121
549,28,78
550,34,45
551,27,110
552,27,83
553,29,35
554,27,63
555,31,56
556,33,48
557,24,36
558,26,82
559,18,84
560,20,35
561,28,83
562,33,36
563,29,78
564,28,91
565,30,50
566,27,72
567,31,46
568,22,64
569,32,41
570,42,176
571,24,55
572,21,58
573,27,131
574,34,56
575,32,52
576,24,69
577,24,172
578,24,83
579,24,57
580,30,72
581,26,73
582,23,55
583,28,55
584,32,45
585,33,36
586,29,83
587,24,46
588,31,137
589,31,63
590,30,110
591,27,84
592,32,38
593,30,55
594,25,74
595,29,76
596,28,88
597,27,76
598,21,78
599,31,135
600,31,122
601,28,83
602,20,86
603,27,52
604,26,136
605,29,56
606,21,122
607,34,83
608,23,134
609,27,60
610,24,41
611,35,131
612,27,48
613,21,76
614,27,60
615,43,115
616,28,85
617,23,157
618,31,71
619,25,41
620,20,56
621,38,56
622,25,71
623,22,35
624,40,117
625,25,120
626,30,85
627,29,66
628,20,66
629,37,60
630,33,60
631,25,147
632,26,38
633,34,78
634,26,99
635,25,99
636,28,88
637,28,43
638,28,83
639,27,120
640,18,34
641,22,76
642,25,83
643,30,88
644,24,83
645,31,57
646,28,67
647,26,69
648,25,84
649,29,85
650,23,71
651,27,136
652,29,44
653,28,71
654,19,93
655,30,72
656,24,69
657,37,61
658,23,84
659,29,157
660,25,147
661,22,78
662,32,63
663,27,34
664,20,131
665,30,53
666,33,57
667,35,110
668,25,56
669,30,83
670,25,83
671,19,135
672,27,122
673,29,74
674,25,78
675,35,43
676,31,56
677,39,204
678,29,67
679,36,91
680,32,76
681,19,38
682,24,61
683,34,83
684,25,88
685,30,32
686,24,83
687,31,72
688,36,38
689,36,89
690,29,131
691,30,204
692,29,137
693,40,69
694,32,172
695,24,72
696,22,63
697,27,136
698,32,91
699,37,63
700,31,122
701,29,85
702,30,84
703,27,74
704,25,83
705,18,49
706,32,71
707,27,67
708,24,41
709,14,35
710,24,35
711,24,136
712,26,122
713,27,103
714,35,49
715,34,55
716,25,41
717,28,61
718,27,89
719,20,36
720,12,87
721,33,110
722,32,48
723,29,72
724,38,78
725,23,117
726,29,44
727,24,72
728,34,83
729,27,117
730,27,89
731,22,85
732,19,39
733,30,72
734,20,66
735,44,41
736,33,66
737,28,57
738,28,55
739,35,64
740,35,64
741,29,64
742,26,83
743,33,134
744,38,47
745,19,79
746,27,55
747,31,50
748,22,83
749,23,71
750,39,87
751,33,102
752,30,83
753,31,58
754,29,71
755,23,98
756,30,73
757,32,102
758,24,84
759,23,102
760,27,74
761,34,38
762,27,55
763,34,35
764,22,44
765,31,87
766,33,60
767,32,78
768,20,67
769,29,83
770,34,46
771,28,88
772,38,55
773,30,72
774,28,71
775,29,53
776,37,147
777,30,135
778,20,54
779,30,102
780,31,55
781,26,85
782,21,102
783,28,44
784,26,32
785,24,176
786,22,47
787,20,39
788,30,41
789,22,121
790,24,54
791,37,87
792,32,55
793,31,78
794,33,82
795,39,135
796,34,89
797,41,55
798,26,79
799,32,84
800,26,134
801,26,83
802,19,69
803,18,56
804,27,45
805,28,32
806,20,83
807,25,48
808,22,122
809,22,55
810,22,223
811,29,83
812,33,83
813,30,85
814,24,41
815,24,35
816,32,36
817,22,53
818,21,92
819,45,134
820,21,176
821,30,34
822,28,55
823,35,56
824,37,32
825,30,55
826,20,50
827,30,35
828,24,53
829,31,85
830,21,41
831,33,88
832,31,38
833,25,147
834,28,32
835,23,53
836,33,39
837,34,41
838,30,102
839,29,78
840,30,78
841,29,32
842,32,83
843,34,64
844,34,85
845,34,83
846,28,64
847,23,49
848,31,38
849,22,83
850,21,47
851,25,136
852,22,72
853,30,83
854,30,137
855,37,55
856,24,93
857,32,36
858,36,147
859,21,49
860,26,66
861,24,87
862,34,83
863,22,89
864,31,48
865,27,136
866,26,91
867,25,92
868,27,83
869,27,55
870,34,83
871,36,136
872,25,84
873,26,63
874,33,85
875,31,43
876,24,35
877,26,35
878,21,71
879,30,131
880,26,55
881,30,71
882,29,72
883,34,147
884,30,72
885,34,61
886,35,49
887,25,35
888,26,102
889,30,73
890,30,135
891,28,58
892,29,83
893,26,83
894,33,89
895,21,58
896,27,78
897,24,136
898,22,32
899,33,52
900,34,120
901,29,83
902,25,63
903,31,69
904,29,121
905,26,82
906,30,120
907,26,86
908,37,89
909,23,110
910,25,85
911,29,47
912,26,44
913,35,43
914,22,53
915,22,136
916,24,60
917,28,72
918,38,92
919,36,72
920,38,55
921,28,63
922,23,71
923,27,83
924,28,87
925,27,43
926,27,91
927,33,117
928,37,79
929,25,46
930,35,57
931,27,49
932,23,66
933,28,63
934,27,56
935,43,35
936,37,131
937,34,85
938,32,47
939,24,64
940,31,69
941,22,62
942,28,50
943,31,79
944,26,115
945,35,83
946,29,41
947,27,32
948,25,135
949,30,79
950,16,49
951,25,66
952,34,71
953,18,47
954,28,55
955,32,57
956,23,41
957,33,45
958,35,89
959,29,50
960,34,78
961,27,88
962,28,82
963,24,60
964,28,73
965,33,66
966,29,54
967,26,41
968,23,72
969,21,84
970,23,129
971,29,84
972,31,63
973,25,66
974,30,41
975,24,67
976,31,123
977,28,50
978,35,176
979,21,63
980,27,83
981,23,78
982,31,99
983,23,44
984,31,85
985,26,53
986,31,55
987,22,129
988,27,84
989,24,49
990,33,83
991,45,35
992,30,157
993,31,87
994,24,129
995,27,78
996,33,102
997,25,134
998,18,147
999,26,102
1000,23,72
1001,26,63
1002,31,83
1003,25,122
1004,32,48
1005,41,48
1006,33,35
1007,34,88
1008,20,84
1009,24,99
1010,19,52
1011,28,83
1012,32,66
1013,36,120
1014,21,83
1015,27,73
1016,31,45
1017,24,35
1018,25,84
1019,31,131
1020,28,131
1021,26,48
1022,17,223
1023,29,83
1024,33,48
1025,26,35
1026,24,84
1027,26,117
1028,17,69
1029,27,63
1030,29,121
1031,28,32
1032,29,87
1033,32,87
1034,30,53
1035,35,102
1036,25,39
1037,27,47
1038,31,83
1039,26,35
1040,26,83
1041,25,54
1042,29,63
1043,47,49
